,dataset_name,model_name,batch_size,weight_decay,learning_rate,fix_noiselevel,init_noiselevel,dropout_prob
4345,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.001,0.001,0.01,0.01
4346,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.001,0.005,0.01,0.01
4348,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.001,0.01,0.01,0.01
4350,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.001,0.05,0.01,0.01
4352,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.001,0.1,0.01,0.01
4354,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.002,0.001,0.01,0.01
4355,protein-tertiary-structure,noisyFCN,32,0.01,0.0001,0.01,0.001,0.01
4356,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.002,0.005,0.01,0.01
4357,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.002,0.01,0.01,0.01
4359,wine-quality-red,FCN,32,0.1,0.0001,0.01,0.01,0.01
4360,wine-quality-red,FCN,32,0.1,0.0005,0.01,0.01,0.01
4361,wine-quality-red,FCN,32,0.1,0.002,0.01,0.01,0.01
4362,wine-quality-red,FCN,32,0.01,0.0001,0.01,0.01,0.01
4363,yacht,FCN,32,0.1,0.0001,0.01,0.01,0.01
4364,wine-quality-red,FCN,32,0.01,0.0005,0.01,0.01,0.01
4365,wine-quality-red,FCN,32,0.01,0.002,0.01,0.01,0.01
4366,wine-quality-red,FCN,32,0.001,0.0001,0.01,0.01,0.01
4367,yacht,FCN,32,0.1,0.0005,0.01,0.01,0.01
4368,wine-quality-red,FCN,32,0.001,0.0005,0.01,0.01,0.01
4369,wine-quality-red,FCN,32,0.001,0.002,0.01,0.01,0.01
4370,yacht,FCN,32,0.1,0.001,0.01,0.01,0.01
4371,yacht,FCN,32,0.1,0.002,0.01,0.01,0.01
4372,wine-quality-red,FCN,32,0.0001,0.0001,0.01,0.01,0.01
4373,wine-quality-red,FCN,32,0.0001,0.0005,0.01,0.01,0.01
4374,wine-quality-red,FCN,32,0.0001,0.002,0.01,0.01,0.01
4375,wine-quality-red,noisyFCN,32,1e-05,0.002,0.01,0.001,0.01
