,dataset_name,model_name,batch_size,weight_decay,learning_rate,fix_noiselevel,init_noiselevel,dropout_prob
0,bostonHousing,FCN,32,0.1,0.001,0.01,0.01,0.01
1,bostonHousing,FCN,32,0.01,0.001,0.01,0.01,0.01
2,energy,FCN,32,0.1,0.001,0.01,0.01,0.01
3,bostonHousing,FCN,32,0.001,0.001,0.01,0.01,0.01
4,bostonHousing,FCN,32,0.0001,0.001,0.01,0.01,0.01
5,bostonHousing,FCN,32,1e-05,0.001,0.01,0.01,0.01
6,wine-quality-red,FCN,32,0.1,0.001,0.01,0.01,0.01
7,power-plant,FCN,32,0.1,0.001,0.01,0.01,0.01
8,wine-quality-red,FCN,32,0.01,0.001,0.01,0.01,0.01
9,bostonHousing,FCN,32,1e-06,0.001,0.01,0.01,0.01
10,energy,FCN,32,0.01,0.001,0.01,0.01,0.01
11,wine-quality-red,FCN,32,0.001,0.001,0.01,0.01,0.01
12,bostonHousing,FCN,32,1e-07,0.001,0.01,0.01,0.01
13,wine-quality-red,FCN,32,0.0001,0.001,0.01,0.01,0.01
14,wine-quality-red,FCN,32,1e-05,0.001,0.01,0.01,0.01
15,bostonHousing,FCN,32,1e-08,0.001,0.01,0.01,0.01
16,energy,FCN,32,0.001,0.001,0.01,0.01,0.01
17,wine-quality-red,FCN,32,1e-06,0.001,0.01,0.01,0.01
18,bostonHousing,FCN,32,1e-09,0.001,0.01,0.01,0.01
19,wine-quality-red,FCN,32,1e-07,0.001,0.01,0.01,0.01
20,bostonHousing,FCN,32,1e-10,0.001,0.01,0.01,0.01
21,energy,FCN,32,0.0001,0.001,0.01,0.01,0.01
22,wine-quality-red,FCN,32,1e-08,0.001,0.01,0.01,0.01
23,bostonHousing,FCN,32,1e-11,0.001,0.01,0.01,0.01
24,wine-quality-red,FCN,32,1e-09,0.001,0.01,0.01,0.01
25,bostonHousing,FCN,32,1e-12,0.001,0.01,0.01,0.01
26,wine-quality-red,FCN,32,1e-10,0.001,0.01,0.01,0.01
27,energy,FCN,32,1e-05,0.001,0.01,0.01,0.01
28,wine-quality-red,FCN,32,1e-11,0.001,0.01,0.01,0.01
29,wine-quality-red,FCN,32,1e-12,0.001,0.01,0.01,0.01
30,bostonHousing,FCN,32,1e-13,0.001,0.01,0.01,0.01
31,energy,FCN,32,1e-06,0.001,0.01,0.01,0.01
32,wine-quality-red,FCN,32,1e-13,0.001,0.01,0.01,0.01
33,bostonHousing,FCN,32,1e-14,0.001,0.01,0.01,0.01
34,wine-quality-red,FCN,32,1e-14,0.001,0.01,0.01,0.01
35,bostonHousing,FCN,32,1e-15,0.001,0.01,0.01,0.01
36,wine-quality-red,FCN,32,1e-15,0.001,0.01,0.01,0.01
37,energy,FCN,32,1e-07,0.001,0.01,0.01,0.01
38,bostonHousing,FCN,64,0.1,0.001,0.01,0.01,0.01
39,bostonHousing,FCN,64,0.01,0.001,0.01,0.01,0.01
40,wine-quality-red,FCN,64,0.1,0.001,0.01,0.01,0.01
41,energy,FCN,32,1e-08,0.001,0.01,0.01,0.01
42,wine-quality-red,FCN,64,0.01,0.001,0.01,0.01,0.01
43,bostonHousing,FCN,64,0.001,0.001,0.01,0.01,0.01
44,wine-quality-red,FCN,64,0.001,0.001,0.01,0.01,0.01
45,wine-quality-red,FCN,64,0.0001,0.001,0.01,0.01,0.01
46,bostonHousing,FCN,64,0.0001,0.001,0.01,0.01,0.01
47,energy,FCN,32,1e-09,0.001,0.01,0.01,0.01
48,wine-quality-red,FCN,64,1e-05,0.001,0.01,0.01,0.01
49,bostonHousing,FCN,64,1e-05,0.001,0.01,0.01,0.01
50,wine-quality-red,FCN,64,1e-06,0.001,0.01,0.01,0.01
51,wine-quality-red,FCN,64,1e-07,0.001,0.01,0.01,0.01
52,bostonHousing,FCN,64,1e-06,0.001,0.01,0.01,0.01
53,wine-quality-red,FCN,64,1e-08,0.001,0.01,0.01,0.01
54,bostonHousing,FCN,64,1e-07,0.001,0.01,0.01,0.01
55,wine-quality-red,FCN,64,1e-09,0.001,0.01,0.01,0.01
56,energy,FCN,32,1e-10,0.001,0.01,0.01,0.01
57,bostonHousing,FCN,64,1e-08,0.001,0.01,0.01,0.01
58,wine-quality-red,FCN,64,1e-10,0.001,0.01,0.01,0.01
59,bostonHousing,FCN,64,1e-09,0.001,0.01,0.01,0.01
60,wine-quality-red,FCN,64,1e-11,0.001,0.01,0.01,0.01
61,wine-quality-red,FCN,64,1e-12,0.001,0.01,0.01,0.01
62,bostonHousing,FCN,64,1e-10,0.001,0.01,0.01,0.01
63,energy,FCN,32,1e-11,0.001,0.01,0.01,0.01
64,wine-quality-red,FCN,64,1e-13,0.001,0.01,0.01,0.01
65,wine-quality-red,FCN,64,1e-14,0.001,0.01,0.01,0.01
66,bostonHousing,FCN,64,1e-11,0.001,0.01,0.01,0.01
67,wine-quality-red,FCN,64,1e-15,0.001,0.01,0.01,0.01
68,bostonHousing,FCN,64,1e-12,0.001,0.01,0.01,0.01
69,energy,FCN,32,1e-12,0.001,0.01,0.01,0.01
70,wine-quality-red,FCN,128,0.1,0.001,0.01,0.01,0.01
71,wine-quality-red,FCN,128,0.01,0.001,0.01,0.01,0.01
72,bostonHousing,FCN,64,1e-13,0.001,0.01,0.01,0.01
73,wine-quality-red,FCN,128,0.001,0.001,0.01,0.01,0.01
74,wine-quality-red,FCN,128,0.0001,0.001,0.01,0.01,0.01
75,energy,FCN,32,1e-13,0.001,0.01,0.01,0.01
76,wine-quality-red,FCN,128,1e-05,0.001,0.01,0.01,0.01
77,bostonHousing,FCN,64,1e-14,0.001,0.01,0.01,0.01
78,wine-quality-red,FCN,128,1e-06,0.001,0.01,0.01,0.01
79,wine-quality-red,FCN,128,1e-07,0.001,0.01,0.01,0.01
80,wine-quality-red,FCN,128,1e-08,0.001,0.01,0.01,0.01
81,energy,FCN,32,1e-14,0.001,0.01,0.01,0.01
82,wine-quality-red,FCN,128,1e-09,0.001,0.01,0.01,0.01
83,wine-quality-red,FCN,128,1e-10,0.001,0.01,0.01,0.01
84,bostonHousing,FCN,64,1e-15,0.001,0.01,0.01,0.01
85,wine-quality-red,FCN,128,1e-11,0.001,0.01,0.01,0.01
86,wine-quality-red,FCN,128,1e-12,0.001,0.01,0.01,0.01
87,energy,FCN,32,1e-15,0.001,0.01,0.01,0.01
88,bostonHousing,FCN,128,0.1,0.001,0.01,0.01,0.01
89,wine-quality-red,FCN,128,1e-13,0.001,0.01,0.01,0.01
90,energy,FCN,64,0.1,0.001,0.01,0.01,0.01
91,wine-quality-red,FCN,128,1e-14,0.001,0.01,0.01,0.01
92,wine-quality-red,FCN,128,1e-15,0.001,0.01,0.01,0.01
93,wine-quality-red,FCN,256,0.1,0.001,0.01,0.01,0.01
94,bostonHousing,FCN,128,0.01,0.001,0.01,0.01,0.01
95,wine-quality-red,FCN,256,0.01,0.001,0.01,0.01,0.01
96,wine-quality-red,FCN,256,0.001,0.001,0.01,0.01,0.01
97,wine-quality-red,FCN,256,0.0001,0.001,0.01,0.01,0.01
98,bostonHousing,FCN,128,0.001,0.001,0.01,0.01,0.01
99,wine-quality-red,FCN,256,1e-05,0.001,0.01,0.01,0.01
100,wine-quality-red,FCN,256,1e-06,0.001,0.01,0.01,0.01
101,bostonHousing,FCN,128,0.0001,0.001,0.01,0.01,0.01
102,wine-quality-red,FCN,256,1e-07,0.001,0.01,0.01,0.01
103,wine-quality-red,FCN,256,1e-08,0.001,0.01,0.01,0.01
104,wine-quality-red,FCN,256,1e-09,0.001,0.01,0.01,0.01
105,bostonHousing,FCN,128,1e-05,0.001,0.01,0.01,0.01
106,wine-quality-red,FCN,256,1e-10,0.001,0.01,0.01,0.01
107,wine-quality-red,FCN,256,1e-11,0.001,0.01,0.01,0.01
108,wine-quality-red,FCN,256,1e-12,0.001,0.01,0.01,0.01
109,energy,FCN,64,0.01,0.001,0.01,0.01,0.01
110,wine-quality-red,FCN,256,1e-13,0.001,0.01,0.01,0.01
111,bostonHousing,FCN,128,1e-06,0.001,0.01,0.01,0.01
112,wine-quality-red,FCN,256,1e-14,0.001,0.01,0.01,0.01
113,wine-quality-red,FCN,256,1e-15,0.001,0.01,0.01,0.01
114,bostonHousing,FCN,128,1e-07,0.001,0.01,0.01,0.01
115,energy,FCN,64,0.001,0.001,0.01,0.01,0.01
116,wine-quality-red,FCN,512,0.1,0.001,0.01,0.01,0.01
117,bostonHousing,FCN,128,1e-08,0.001,0.01,0.01,0.01
118,wine-quality-red,FCN,512,0.01,0.001,0.01,0.01,0.01
119,wine-quality-red,FCN,512,0.001,0.001,0.01,0.01,0.01
120,energy,FCN,64,0.0001,0.001,0.01,0.01,0.01
121,bostonHousing,FCN,128,1e-09,0.001,0.01,0.01,0.01
122,wine-quality-red,FCN,512,0.0001,0.001,0.01,0.01,0.01
123,wine-quality-red,FCN,512,1e-05,0.001,0.01,0.01,0.01
124,power-plant,FCN,32,0.01,0.001,0.01,0.01,0.01
125,wine-quality-red,FCN,512,1e-06,0.001,0.01,0.01,0.01
126,energy,FCN,64,1e-05,0.001,0.01,0.01,0.01
127,bostonHousing,FCN,128,1e-10,0.001,0.01,0.01,0.01
128,wine-quality-red,FCN,512,1e-07,0.001,0.01,0.01,0.01
129,wine-quality-red,FCN,512,1e-08,0.001,0.01,0.01,0.01
130,wine-quality-red,FCN,512,1e-09,0.001,0.01,0.01,0.01
131,energy,FCN,64,1e-06,0.001,0.01,0.01,0.01
132,wine-quality-red,FCN,512,1e-10,0.001,0.01,0.01,0.01
133,bostonHousing,FCN,128,1e-11,0.001,0.01,0.01,0.01
134,wine-quality-red,FCN,512,1e-11,0.001,0.01,0.01,0.01
135,energy,FCN,64,1e-07,0.001,0.01,0.01,0.01
136,wine-quality-red,FCN,512,1e-12,0.001,0.01,0.01,0.01
137,bostonHousing,FCN,128,1e-12,0.001,0.01,0.01,0.01
138,wine-quality-red,FCN,512,1e-13,0.001,0.01,0.01,0.01
139,wine-quality-red,FCN,512,1e-14,0.001,0.01,0.01,0.01
140,wine-quality-red,FCN,512,1e-15,0.001,0.01,0.01,0.01
141,energy,FCN,64,1e-08,0.001,0.01,0.01,0.01
142,bostonHousing,FCN,128,1e-13,0.001,0.01,0.01,0.01
143,energy,FCN,64,1e-09,0.001,0.01,0.01,0.01
144,bostonHousing,FCN,128,1e-14,0.001,0.01,0.01,0.01
145,bostonHousing,FCN,128,1e-15,0.001,0.01,0.01,0.01
146,energy,FCN,64,1e-10,0.001,0.01,0.01,0.01
147,bostonHousing,FCN,256,0.1,0.001,0.01,0.01,0.01
148,bostonHousing,FCN,256,0.01,0.001,0.01,0.01,0.01
149,energy,FCN,64,1e-11,0.001,0.01,0.01,0.01
150,bostonHousing,FCN,256,0.001,0.001,0.01,0.01,0.01
151,energy,FCN,64,1e-12,0.001,0.01,0.01,0.01
152,bostonHousing,FCN,256,0.0001,0.001,0.01,0.01,0.01
153,energy,FCN,64,1e-13,0.001,0.01,0.01,0.01
154,bostonHousing,FCN,256,1e-05,0.001,0.01,0.01,0.01
155,energy,FCN,64,1e-14,0.001,0.01,0.01,0.01
156,bostonHousing,FCN,256,1e-06,0.001,0.01,0.01,0.01
157,energy,FCN,64,1e-15,0.001,0.01,0.01,0.01
158,bostonHousing,FCN,256,1e-07,0.001,0.01,0.01,0.01
159,energy,FCN,128,0.1,0.001,0.01,0.01,0.01
160,bostonHousing,FCN,256,1e-08,0.001,0.01,0.01,0.01
161,bostonHousing,FCN,256,1e-09,0.001,0.01,0.01,0.01
162,bostonHousing,FCN,256,1e-10,0.001,0.01,0.01,0.01
163,energy,FCN,128,0.01,0.001,0.01,0.01,0.01
164,bostonHousing,FCN,256,1e-11,0.001,0.01,0.01,0.01
165,energy,FCN,128,0.001,0.001,0.01,0.01,0.01
166,bostonHousing,FCN,256,1e-12,0.001,0.01,0.01,0.01
167,wine-quality-red,noisyFCN,32,0.1,0.001,0.01,0.001,0.01
168,bostonHousing,FCN,256,1e-13,0.001,0.01,0.01,0.01
169,energy,FCN,128,0.0001,0.001,0.01,0.01,0.01
170,bostonHousing,FCN,256,1e-14,0.001,0.01,0.01,0.01
171,energy,FCN,128,1e-05,0.001,0.01,0.01,0.01
172,bostonHousing,FCN,256,1e-15,0.001,0.01,0.01,0.01
173,bostonHousing,FCN,512,0.1,0.001,0.01,0.01,0.01
174,energy,FCN,128,1e-06,0.001,0.01,0.01,0.01
175,energy,FCN,128,1e-07,0.001,0.01,0.01,0.01
176,bostonHousing,FCN,512,0.01,0.001,0.01,0.01,0.01
177,energy,FCN,128,1e-08,0.001,0.01,0.01,0.01
178,bostonHousing,FCN,512,0.001,0.001,0.01,0.01,0.01
179,energy,FCN,128,1e-09,0.001,0.01,0.01,0.01
180,bostonHousing,FCN,512,0.0001,0.001,0.01,0.01,0.01
181,energy,FCN,128,1e-10,0.001,0.01,0.01,0.01
182,bostonHousing,FCN,512,1e-05,0.001,0.01,0.01,0.01
183,energy,FCN,128,1e-11,0.001,0.01,0.01,0.01
184,bostonHousing,FCN,512,1e-06,0.001,0.01,0.01,0.01
185,bostonHousing,FCN,512,1e-07,0.001,0.01,0.01,0.01
186,energy,FCN,128,1e-12,0.001,0.01,0.01,0.01
187,bostonHousing,FCN,512,1e-08,0.001,0.01,0.01,0.01
188,energy,FCN,128,1e-13,0.001,0.01,0.01,0.01
189,bostonHousing,FCN,512,1e-09,0.001,0.01,0.01,0.01
190,energy,FCN,128,1e-14,0.001,0.01,0.01,0.01
191,bostonHousing,FCN,512,1e-10,0.001,0.01,0.01,0.01
192,energy,FCN,128,1e-15,0.001,0.01,0.01,0.01
193,energy,FCN,256,0.1,0.001,0.01,0.01,0.01
194,bostonHousing,FCN,512,1e-11,0.001,0.01,0.01,0.01
195,bostonHousing,FCN,512,1e-12,0.001,0.01,0.01,0.01
196,power-plant,FCN,32,0.001,0.001,0.01,0.01,0.01
197,bostonHousing,FCN,512,1e-13,0.001,0.01,0.01,0.01
198,energy,FCN,256,0.01,0.001,0.01,0.01,0.01
199,bostonHousing,FCN,512,1e-14,0.001,0.01,0.01,0.01
200,bostonHousing,FCN,512,1e-15,0.001,0.01,0.01,0.01
201,wine-quality-red,noisyFCN,32,0.1,0.001,0.01,0.002,0.01
202,energy,FCN,256,0.001,0.001,0.01,0.01,0.01
203,energy,FCN,256,0.0001,0.001,0.01,0.01,0.01
204,bostonHousing,noisyFCN,32,0.1,0.001,0.01,0.001,0.01
205,energy,FCN,256,1e-05,0.001,0.01,0.01,0.01
206,energy,FCN,256,1e-06,0.001,0.01,0.01,0.01
207,bostonHousing,noisyFCN,32,0.1,0.001,0.01,0.002,0.01
208,energy,FCN,256,1e-07,0.001,0.01,0.01,0.01
209,energy,FCN,256,1e-08,0.001,0.01,0.01,0.01
210,wine-quality-red,noisyFCN,32,0.1,0.001,0.01,0.005,0.01
211,energy,FCN,256,1e-09,0.001,0.01,0.01,0.01
212,power-plant,FCN,32,0.0001,0.001,0.01,0.01,0.01
213,bostonHousing,noisyFCN,32,0.1,0.001,0.01,0.005,0.01
214,energy,FCN,256,1e-10,0.001,0.01,0.01,0.01
215,energy,FCN,256,1e-11,0.001,0.01,0.01,0.01
216,energy,FCN,256,1e-12,0.001,0.01,0.01,0.01
217,bostonHousing,noisyFCN,32,0.1,0.001,0.01,0.01,0.01
218,energy,FCN,256,1e-13,0.001,0.01,0.01,0.01
219,energy,FCN,256,1e-14,0.001,0.01,0.01,0.01
220,energy,FCN,256,1e-15,0.001,0.01,0.01,0.01
221,power-plant,FCN,32,1e-05,0.001,0.01,0.01,0.01
222,energy,FCN,512,0.1,0.001,0.01,0.01,0.01
223,bostonHousing,noisyFCN,32,0.1,0.001,0.01,0.02,0.01
224,wine-quality-red,noisyFCN,32,0.1,0.001,0.01,0.01,0.01
225,energy,FCN,512,0.01,0.001,0.01,0.01,0.01
226,bostonHousing,noisyFCN,32,0.1,0.001,0.01,0.05,0.01
227,energy,FCN,512,0.001,0.001,0.01,0.01,0.01
228,energy,FCN,512,0.0001,0.001,0.01,0.01,0.01
229,bostonHousing,noisyFCN,32,0.1,0.001,0.01,0.1,0.01
230,power-plant,FCN,32,1e-06,0.001,0.01,0.01,0.01
231,wine-quality-red,noisyFCN,32,0.1,0.001,0.01,0.02,0.01
232,energy,FCN,512,1e-05,0.001,0.01,0.01,0.01
233,bostonHousing,noisyFCN,32,0.1,0.001,0.01,0.2,0.01
234,energy,FCN,512,1e-06,0.001,0.01,0.01,0.01
235,energy,FCN,512,1e-07,0.001,0.01,0.01,0.01
236,wine-quality-red,noisyFCN,32,0.1,0.001,0.01,0.05,0.01
237,energy,FCN,512,1e-08,0.001,0.01,0.01,0.01
238,bostonHousing,noisyFCN,32,0.1,0.001,0.01,0.5,0.01
239,energy,FCN,512,1e-09,0.001,0.01,0.01,0.01
240,bostonHousing,noisyFCN,32,0.01,0.001,0.01,0.001,0.01
241,energy,FCN,512,1e-10,0.001,0.01,0.01,0.01
242,power-plant,FCN,32,1e-07,0.001,0.01,0.01,0.01
243,energy,FCN,512,1e-11,0.001,0.01,0.01,0.01
244,wine-quality-red,noisyFCN,32,0.1,0.001,0.01,0.1,0.01
245,energy,FCN,512,1e-12,0.001,0.01,0.01,0.01
246,bostonHousing,noisyFCN,32,0.01,0.001,0.01,0.002,0.01
247,wine-quality-red,noisyFCN,32,0.1,0.001,0.01,0.2,0.01
248,energy,FCN,512,1e-13,0.001,0.01,0.01,0.01
249,bostonHousing,noisyFCN,32,0.01,0.001,0.01,0.005,0.01
250,power-plant,FCN,32,1e-08,0.001,0.01,0.01,0.01
251,bostonHousing,noisyFCN,32,0.01,0.001,0.01,0.01,0.01
252,wine-quality-red,noisyFCN,32,0.1,0.001,0.01,0.5,0.01
253,wine-quality-red,noisyFCN,32,0.01,0.001,0.01,0.001,0.01
254,power-plant,FCN,32,0.1,0.0001,0.01,0.01,0.01
255,power-plant,FCN,32,0.1,0.0005,0.01,0.01,0.01
257,power-plant,fixnoiseFCN,32,0.1,0.0001,0.001,0.01,0.01
258,bostonHousing,FCN,32,0.1,0.0001,0.01,0.01,0.01
259,power-plant,FCN,32,0.1,0.002,0.01,0.01,0.01
260,bostonHousing,FCN,32,0.1,0.0005,0.01,0.01,0.01
262,power-plant,fixnoiseFCN,32,0.1,0.0001,0.005,0.01,0.01
263,bostonHousing,FCN,32,0.1,0.002,0.01,0.01,0.01
264,bostonHousing,FCN,32,0.01,0.0001,0.01,0.01,0.01
265,power-plant,fixnoiseFCN,32,0.1,0.0001,0.01,0.01,0.01
266,bostonHousing,FCN,32,0.01,0.0005,0.01,0.01,0.01
267,bostonHousing,fixnoiseFCN,32,0.1,0.0001,0.001,0.01,0.01
269,bostonHousing,FCN,32,0.01,0.002,0.01,0.01,0.01
270,power-plant,fixnoiseFCN,32,0.1,0.0001,0.05,0.01,0.01
271,bostonHousing,FCN,32,0.001,0.0001,0.01,0.01,0.01
272,power-plant,FCN,32,0.01,0.0001,0.01,0.01,0.01
273,power-plant,fixnoiseFCN,32,0.1,0.0001,0.1,0.01,0.01
274,bostonHousing,FCN,32,0.001,0.0005,0.01,0.01,0.01
276,bostonHousing,FCN,32,0.001,0.002,0.01,0.01,0.01
277,power-plant,fixnoiseFCN,32,0.1,0.0005,0.001,0.01,0.01
278,bostonHousing,FCN,32,0.0001,0.0001,0.01,0.01,0.01
279,bostonHousing,FCN,32,0.0001,0.0005,0.01,0.01,0.01
281,bostonHousing,FCN,32,0.0001,0.002,0.01,0.01,0.01
282,power-plant,fixnoiseFCN,32,0.1,0.0005,0.005,0.01,0.01
283,bostonHousing,fixnoiseFCN,32,0.1,0.0001,0.005,0.01,0.01
284,bostonHousing,FCN,32,1e-05,0.0001,0.01,0.01,0.01
285,power-plant,fixnoiseFCN,32,0.1,0.0005,0.01,0.01,0.01
286,bostonHousing,FCN,32,1e-05,0.0005,0.01,0.01,0.01
288,bostonHousing,FCN,32,1e-05,0.002,0.01,0.01,0.01
289,bostonHousing,fixnoiseFCN,32,0.1,0.0001,0.01,0.01,0.01
290,power-plant,fixnoiseFCN,32,0.1,0.0005,0.05,0.01,0.01
291,power-plant,FCN,32,0.01,0.0005,0.01,0.01,0.01
292,bostonHousing,FCN,32,1e-09,0.0001,0.01,0.01,0.01
293,bostonHousing,FCN,32,1e-09,0.0005,0.01,0.01,0.01
295,bostonHousing,FCN,32,1e-09,0.002,0.01,0.01,0.01
296,power-plant,fixnoiseFCN,32,0.1,0.0005,0.1,0.01,0.01
297,power-plant,fixnoiseFCN,32,0.1,0.001,0.001,0.01,0.01
298,bostonHousing,noisyFCN,32,0.1,0.0001,0.01,0.001,0.01
299,bostonHousing,fixnoiseFCN,32,0.1,0.0001,0.05,0.01,0.01
301,power-plant,fixnoiseFCN,32,0.1,0.001,0.005,0.01,0.01
302,bostonHousing,fixnoiseFCN,32,0.1,0.0001,0.1,0.01,0.01
303,power-plant,fixnoiseFCN,32,0.1,0.001,0.01,0.01,0.01
304,bostonHousing,fixnoiseFCN,32,0.1,0.0005,0.001,0.01,0.01
305,power-plant,fixnoiseFCN,32,0.1,0.001,0.05,0.01,0.01
306,power-plant,FCN,32,0.01,0.002,0.01,0.01,0.01
307,bostonHousing,fixnoiseFCN,32,0.1,0.0005,0.005,0.01,0.01
308,power-plant,fixnoiseFCN,32,0.1,0.001,0.1,0.01,0.01
309,bostonHousing,noisyFCN,32,0.1,0.0001,0.01,0.005,0.01
310,bostonHousing,fixnoiseFCN,32,0.1,0.0005,0.01,0.01,0.01
311,bostonHousing,noisyFCN,32,0.1,0.0001,0.01,0.01,0.01
312,bostonHousing,fixnoiseFCN,32,0.1,0.0005,0.05,0.01,0.01
313,bostonHousing,fixnoiseFCN,32,0.1,0.0005,0.1,0.01,0.01
314,bostonHousing,fixnoiseFCN,32,0.1,0.001,0.001,0.01,0.01
315,bostonHousing,fixnoiseFCN,32,0.1,0.001,0.005,0.01,0.01
316,bostonHousing,fixnoiseFCN,32,0.1,0.001,0.01,0.01,0.01
317,bostonHousing,noisyFCN,32,0.1,0.0001,0.01,0.05,0.01
318,bostonHousing,fixnoiseFCN,32,0.1,0.001,0.05,0.01,0.01
319,bostonHousing,fixnoiseFCN,32,0.1,0.001,0.1,0.01,0.01
320,power-plant,fixnoiseFCN,32,0.1,0.002,0.001,0.01,0.01
321,bostonHousing,fixnoiseFCN,32,0.1,0.002,0.001,0.01,0.01
322,bostonHousing,fixnoiseFCN,32,0.1,0.002,0.005,0.01,0.01
323,bostonHousing,fixnoiseFCN,32,0.1,0.002,0.01,0.01,0.01
324,power-plant,fixnoiseFCN,32,0.1,0.002,0.005,0.01,0.01
325,bostonHousing,fixnoiseFCN,32,0.1,0.002,0.05,0.01,0.01
326,bostonHousing,fixnoiseFCN,32,0.1,0.002,0.1,0.01,0.01
327,bostonHousing,noisyFCN,32,0.1,0.0001,0.01,0.1,0.01
328,bostonHousing,noisyFCN,32,0.1,0.0005,0.01,0.001,0.01
329,bostonHousing,fixnoiseFCN,32,0.01,0.0001,0.001,0.01,0.01
330,power-plant,fixnoiseFCN,32,0.1,0.002,0.01,0.01,0.01
331,bostonHousing,noisyFCN,32,0.1,0.0005,0.01,0.005,0.01
332,bostonHousing,noisyFCN,32,0.1,0.0005,0.01,0.01,0.01
333,bostonHousing,noisyFCN,32,0.1,0.0005,0.01,0.05,0.01
334,bostonHousing,fixnoiseFCN,32,0.01,0.0001,0.005,0.01,0.01
335,power-plant,fixnoiseFCN,32,0.1,0.002,0.05,0.01,0.01
336,bostonHousing,noisyFCN,32,0.1,0.0005,0.01,0.1,0.01
340,bostonHousing,fixnoiseFCN,32,0.01,0.0001,0.01,0.01,0.01
341,power-plant,fixnoiseFCN,32,0.1,0.002,0.1,0.01,0.01
344,power-plant,FCN,32,0.001,0.0001,0.01,0.01,0.01
345,bostonHousing,noisyFCN,32,0.1,0.002,0.01,0.001,0.01
346,bostonHousing,fixnoiseFCN,32,0.01,0.0001,0.05,0.01,0.01
347,bostonHousing,noisyFCN,32,0.1,0.002,0.01,0.005,0.01
348,bostonHousing,noisyFCN,32,0.1,0.002,0.01,0.01,0.01
349,bostonHousing,fixnoiseFCN,32,0.01,0.0001,0.1,0.01,0.01
350,bostonHousing,noisyFCN,32,0.1,0.002,0.01,0.05,0.01
351,bostonHousing,noisyFCN,32,0.1,0.002,0.01,0.1,0.01
352,bostonHousing,fixnoiseFCN,32,0.01,0.0005,0.001,0.01,0.01
353,bostonHousing,fixnoiseFCN,32,0.01,0.0005,0.005,0.01,0.01
354,bostonHousing,fixnoiseFCN,32,0.01,0.0005,0.01,0.01,0.01
355,bostonHousing,noisyFCN,32,0.01,0.0001,0.01,0.001,0.01
356,power-plant,FCN,32,0.001,0.0005,0.01,0.01,0.01
357,bostonHousing,fixnoiseFCN,32,0.01,0.0005,0.05,0.01,0.01
358,bostonHousing,fixnoiseFCN,32,0.01,0.0005,0.1,0.01,0.01
359,bostonHousing,fixnoiseFCN,32,0.01,0.001,0.001,0.01,0.01
360,bostonHousing,fixnoiseFCN,32,0.01,0.001,0.005,0.01,0.01
362,bostonHousing,noisyFCN,32,0.01,0.0001,0.01,0.005,0.01
363,bostonHousing,fixnoiseFCN,32,0.01,0.001,0.01,0.01,0.01
364,bostonHousing,fixnoiseFCN,32,0.01,0.001,0.05,0.01,0.01
365,bostonHousing,fixnoiseFCN,32,0.01,0.001,0.1,0.01,0.01
366,bostonHousing,fixnoiseFCN,32,0.01,0.002,0.001,0.01,0.01
367,bostonHousing,fixnoiseFCN,32,0.01,0.002,0.005,0.01,0.01
368,power-plant,FCN,32,0.001,0.002,0.01,0.01,0.01
369,bostonHousing,fixnoiseFCN,32,0.01,0.002,0.01,0.01,0.01
370,bostonHousing,fixnoiseFCN,32,0.01,0.002,0.05,0.01,0.01
371,bostonHousing,fixnoiseFCN,32,0.01,0.002,0.1,0.01,0.01
372,bostonHousing,noisyFCN,32,0.01,0.0001,0.01,0.01,0.01
373,power-plant,fixnoiseFCN,32,0.01,0.0001,0.001,0.01,0.01
374,bostonHousing,fixnoiseFCN,32,0.001,0.0001,0.001,0.01,0.01
375,bostonHousing,fixnoiseFCN,32,0.001,0.0001,0.005,0.01,0.01
376,bostonHousing,noisyFCN,32,0.01,0.0001,0.01,0.05,0.01
377,bostonHousing,dropoutFCN,32,0.1,0.0001,0.01,0.01,0.2
378,power-plant,FCN,32,0.0001,0.0001,0.01,0.01,0.01
379,bostonHousing,fixnoiseFCN,32,0.001,0.0001,0.01,0.01,0.01
380,bostonHousing,dropoutFCN,32,0.1,0.0001,0.01,0.01,0.1
381,bostonHousing,noisyFCN,32,0.01,0.0001,0.01,0.1,0.01
382,bostonHousing,fixnoiseFCN,32,0.001,0.0001,0.05,0.01,0.01
383,bostonHousing,dropoutFCN,32,0.1,0.0001,0.01,0.01,0.05
384,bostonHousing,dropoutFCN,32,0.1,0.0001,0.01,0.01,0.01
385,bostonHousing,noisyFCN,32,0.01,0.0005,0.01,0.001,0.01
386,bostonHousing,noisyFCN,32,0.01,0.0005,0.01,0.005,0.01
387,bostonHousing,dropoutFCN,32,0.1,0.0001,0.01,0.01,0.005
388,bostonHousing,fixnoiseFCN,32,0.001,0.0001,0.1,0.01,0.01
389,power-plant,fixnoiseFCN,32,0.01,0.0001,0.005,0.01,0.01
390,bostonHousing,fixnoiseFCN,32,0.001,0.0005,0.001,0.01,0.01
391,bostonHousing,noisyFCN,32,0.01,0.0005,0.01,0.01,0.01
392,bostonHousing,dropoutFCN,32,0.1,0.0001,0.01,0.01,0.001
393,power-plant,FCN,32,0.0001,0.0005,0.01,0.01,0.01
394,bostonHousing,fixnoiseFCN,32,0.001,0.0005,0.005,0.01,0.01
395,bostonHousing,dropoutFCN,32,0.1,0.0005,0.01,0.01,0.2
